state,date,value
Malaysia,2000-01-01,10184
Malaysia,2001-01-01,10432
Malaysia,2002-01-01,10737
Malaysia,2003-01-01,11047
Malaysia,2004-01-01,11410
Malaysia,2005-01-01,11563
Malaysia,2006-01-01,12192
Malaysia,2007-01-01,12827
Malaysia,2008-01-01,13213
Malaysia,2009-01-01,13495
Malaysia,2010-01-01,14110
Malaysia,2011-01-01,14564
Malaysia,2012-01-01,15012
Malaysia,2013-01-01,15498
Malaysia,2014-01-01,15768
Malaysia,2015-01-01,16159
Malaysia,2016-01-01,16772
Malaysia,2017-01-01,16827
Malaysia,2018-01-01,17287
Malaysia,2019-01-01,17743
Malaysia,2020-01-01,17928
Malaysia,2021-01-01,18190
Malaysia,2022-01-01,18828
Johor,2000-01-01,1158
Johor,2001-01-01,1201
Johor,2002-01-01,1260
Johor,2003-01-01,1118
Johor,2004-01-01,1003
Johor,2005-01-01,1003
Johor,2006-01-01,1363
Johor,2007-01-01,1387
Johor,2008-01-01,1430
Johor,2009-01-01,1466
Johor,2010-01-01,1476
Johor,2011-01-01,1528
Johor,2012-01-01,1512
Johor,2013-01-01,1508
Johor,2014-01-01,1568
Johor,2015-01-01,1619
Johor,2016-01-01,1737
Johor,2017-01-01,1680
Johor,2018-01-01,1757
Johor,2019-01-01,1888
Johor,2020-01-01,1831
Johor,2021-01-01,1848
Johor,2022-01-01,1837
Kedah,2000-01-01,804
Kedah,2001-01-01,841
Kedah,2002-01-01,864
Kedah,2003-01-01,928
Kedah,2004-01-01,976
Kedah,2005-01-01,976
Kedah,2006-01-01,1029
Kedah,2007-01-01,1088
Kedah,2008-01-01,1157
Kedah,2009-01-01,1173
Kedah,2010-01-01,1173
Kedah,2011-01-01,1237
Kedah,2012-01-01,1292
Kedah,2013-01-01,1322
Kedah,2014-01-01,1299
Kedah,2015-01-01,1315
Kedah,2016-01-01,1361
Kedah,2017-01-01,1370
Kedah,2018-01-01,1446
Kedah,2019-01-01,1474
Kedah,2020-01-01,1487
Kedah,2021-01-01,1538
Kedah,2022-01-01,1597
Kelantan,2000-01-01,213
Kelantan,2001-01-01,216
Kelantan,2002-01-01,216
Kelantan,2003-01-01,228
Kelantan,2004-01-01,275
Kelantan,2005-01-01,275
Kelantan,2006-01-01,295
Kelantan,2007-01-01,328
Kelantan,2008-01-01,341
Kelantan,2009-01-01,343
Kelantan,2010-01-01,377
Kelantan,2011-01-01,403
Kelantan,2012-01-01,406
Kelantan,2013-01-01,430
Kelantan,2014-01-01,445
Kelantan,2015-01-01,454
Kelantan,2016-01-01,471
Kelantan,2017-01-01,475
Kelantan,2018-01-01,491
Kelantan,2019-01-01,503
Kelantan,2020-01-01,507
Kelantan,2021-01-01,504
Kelantan,2022-01-01,517
Melaka,2000-01-01,324
Melaka,2001-01-01,320
Melaka,2002-01-01,350
Melaka,2003-01-01,375
Melaka,2004-01-01,399
Melaka,2005-01-01,415
Melaka,2006-01-01,393
Melaka,2007-01-01,411
Melaka,2008-01-01,428
Melaka,2009-01-01,443
Melaka,2010-01-01,443
Melaka,2011-01-01,455
Melaka,2012-01-01,478
Melaka,2013-01-01,487
Melaka,2014-01-01,532
Melaka,2015-01-01,519
Melaka,2016-01-01,510
Melaka,2017-01-01,513
Melaka,2018-01-01,528
Melaka,2019-01-01,538
Melaka,2020-01-01,578
Melaka,2021-01-01,603
Melaka,2022-01-01,649
Negeri Sembilan,2000-01-01,490
Negeri Sembilan,2001-01-01,520
Negeri Sembilan,2002-01-01,620
Negeri Sembilan,2003-01-01,634
Negeri Sembilan,2004-01-01,649
Negeri Sembilan,2005-01-01,642
Negeri Sembilan,2006-01-01,746
Negeri Sembilan,2007-01-01,690
Negeri Sembilan,2008-01-01,665
Negeri Sembilan,2009-01-01,659
Negeri Sembilan,2010-01-01,724
Negeri Sembilan,2011-01-01,742
Negeri Sembilan,2012-01-01,735
Negeri Sembilan,2013-01-01,736
Negeri Sembilan,2014-01-01,744
Negeri Sembilan,2015-01-01,752
Negeri Sembilan,2016-01-01,779
